ticker,name,listed,asset_class,country,datasource,datasource_ticker
BHDAED=X,BHD/AED,TRUE,currency,n/a,yfinance,BHDAED=X
BBDDKK=X,BBD/DKK,TRUE,currency,n/a,yfinance,BBDDKK=X
BWPNGN=X,BWP/NGN,TRUE,currency,n/a,yfinance,BWPNGN=X
BWPTOP=X,BWP/TOP,TRUE,currency,n/a,yfinance,BWPTOP=X
BWPGBP=X,BWP/GBP,TRUE,currency,n/a,yfinance,BWPGBP=X
BTN=X,USD/BTN,TRUE,currency,n/a,yfinance,BTN=X
29134332=X,,TRUE,currency,n/a,yfinance,29134332=X
BWPHUF=X,BWP/HUF,TRUE,currency,n/a,yfinance,BWPHUF=X
BND=X,USD/BND,TRUE,currency,n/a,yfinance,BND=X
BNDGBP=X,BND/GBP,TRUE,currency,n/a,yfinance,BNDGBP=X
BRLCAD=X,BRL/CAD,TRUE,currency,n/a,yfinance,BRLCAD=X
BRLRUB=X,BRL/RUB,TRUE,currency,n/a,yfinance,BRLRUB=X
BM.PA,,TRUE,currency,n/a,yfinance,BM.PA
BWPMUR=X,BWP/MUR,TRUE,currency,n/a,yfinance,BWPMUR=X
BAMGBP=X,BAM/GBP,TRUE,currency,n/a,yfinance,BAMGBP=X
BTNUSD=X,BTN/USD,TRUE,currency,n/a,yfinance,BTNUSD=X
BRLPEN=X,BRL/PEN,TRUE,currency,n/a,yfinance,BRLPEN=X
BWPTRY=X,BWP/TRY,TRUE,currency,n/a,yfinance,BWPTRY=X
BWPSEK=X,BWP/SEK,TRUE,currency,n/a,yfinance,BWPSEK=X
BMDDKK=X,BMD/DKK,TRUE,currency,n/a,yfinance,BMDDKK=X
GDEBQ.MDD,,TRUE,currency,n/a,yfinance,GDEBQ.MDD
BWPAUD=X,BWP/AUD,TRUE,currency,n/a,yfinance,BWPAUD=X
BWPXDR=X,BWP/XDR,TRUE,currency,n/a,yfinance,BWPXDR=X
BHDXDR=X,BHD/XDR,TRUE,currency,n/a,yfinance,BHDXDR=X
BWPRUB=X,BWP/RUB,TRUE,currency,n/a,yfinance,BWPRUB=X
IDEBY.MDD,,TRUE,currency,n/a,yfinance,IDEBY.MDD
BRLCHF=X,BRL/CHF,TRUE,currency,n/a,yfinance,BRLCHF=X
BOB=X,USD/BOB,TRUE,currency,n/a,yfinance,BOB=X
EOB.PA,,TRUE,currency,n/a,yfinance,EOB.PA
BMDGBP=X,BMD/GBP,TRUE,currency,n/a,yfinance,BMDGBP=X
BRLDKK=X,BRL/DKK,TRUE,currency,n/a,yfinance,BRLDKK=X
BWPCHF=X,BWP/CHF,TRUE,currency,n/a,yfinance,BWPCHF=X
BRLMYR=X,BRL/MYR,TRUE,currency,n/a,yfinance,BRLMYR=X
BDTHKD=X,BDT/HKD,TRUE,currency,n/a,yfinance,BDTHKD=X
BDTCAD=X,BDT/CAD,TRUE,currency,n/a,yfinance,BDTCAD=X
BWPKES=X,BWP/KES,TRUE,currency,n/a,yfinance,BWPKES=X
BWPCNY=X,BWP/CNY,TRUE,currency,n/a,yfinance,BWPCNY=X
BWPMYR=X,BWP/MYR,TRUE,currency,n/a,yfinance,BWPMYR=X
BRLHKD=X,BRL/HKD,TRUE,currency,n/a,yfinance,BRLHKD=X
